epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48.6681,2.54403,2.70725,2.52377,0.24794,0.30556,0.16823,0.06008,2.32453,3.54465,2.45269,0.0011882,0.0011882,0.0011882
43,49.7908,2.59432,2.69742,2.57837,0.28765,0.33333,0.17399,0.06484,2.24905,2.92903,2.36716,0.0011684,0.0011684,0.0011684
44,51.1347,2.4729,2.63836,2.43539,0.38925,0.30556,0.23091,0.08898,2.24779,2.40744,2.33947,0.0011486,0.0011486,0.0011486
45,52.2243,2.48744,2.68306,2.48497,0.34243,0.34259,0.24813,0.09238,2.27429,2.35865,2.36018,0.0011288,0.0011288,0.0011288
46,53.3565,2.53828,2.58205,2.53857,0.30249,0.38889,0.23745,0.08862,2.36182,2.3087,2.42863,0.001109,0.001109,0.001109
47,54.4241,2.51892,2.49425,2.52638,0.30384,0.41667,0.2353,0.0849,2.41792,2.19399,2.4705,0.0010892,0.0010892,0.0010892
48,55.5718,2.51068,2.53341,2.55722,0.43948,0.2963,0.24425,0.08166,2.35657,2.38321,2.49453,0.0010694,0.0010694,0.0010694
49,56.6871,2.50548,2.48592,2.44954,0.38371,0.24215,0.17314,0.05587,2.47113,2.67434,2.56795,0.0010496,0.0010496,0.0010496
50,57.7987,2.48746,2.44343,2.51924,0.3011,0.24074,0.16526,0.06505,2.45086,2.6558,2.56395,0.0010298,0.0010298,0.0010298
51,58.9313,2.38147,2.75985,2.53205,0.33751,0.32407,0.24658,0.09424,2.31486,2.3645,2.5186,0.00101,0.00101,0.00101
52,60.1076,2.32999,2.50716,2.42671,0.37376,0.40741,0.28493,0.11423,2.12974,2.12712,2.3559,0.0009902,0.0009902,0.0009902
53,61.1962,2.33325,2.30008,2.3275,0.43887,0.37963,0.29768,0.12755,2.12893,2.24332,2.33351,0.0009704,0.0009704,0.0009704
54,62.2885,2.36753,2.48321,2.32302,0.43284,0.42399,0.33848,0.14451,2.11511,2.38046,2.2883,0.0009506,0.0009506,0.0009506
55,63.4151,2.4132,2.57832,2.47307,0.53931,0.40741,0.40125,0.16316,2.07699,2.51653,2.23901,0.0009308,0.0009308,0.0009308
56,64.5733,2.45547,2.40326,2.45572,0.45908,0.37963,0.36345,0.1378,2.118,2.33229,2.26163,0.000911,0.000911,0.000911
57,65.8718,2.30953,2.38328,2.4747,0.451,0.37963,0.38131,0.14229,2.12136,2.26148,2.21568,0.0008912,0.0008912,0.0008912
58,67.003,2.37354,2.24644,2.3614,0.39611,0.4616,0.42964,0.1579,2.0464,2.24297,2.13271,0.0008714,0.0008714,0.0008714
59,68.1074,2.28771,2.26837,2.28549,0.50759,0.5,0.44583,0.17048,1.99818,2.38139,2.09885,0.0008516,0.0008516,0.0008516
60,69.2549,2.35378,2.17819,2.23164,0.53557,0.38889,0.35558,0.15522,2.06574,3.09114,2.16249,0.0008318,0.0008318,0.0008318
61,70.3702,2.38482,2.32676,2.39008,0.48853,0.42593,0.35992,0.15122,2.11198,2.92975,2.20506,0.000812,0.000812,0.000812
62,71.4908,2.36386,2.30657,2.31449,0.57936,0.38889,0.40309,0.15432,2.16726,2.42408,2.2382,0.0007922,0.0007922,0.0007922
63,72.5921,2.4664,2.20435,2.37427,0.53178,0.42593,0.42488,0.16229,2.16944,2.13966,2.22675,0.0007724,0.0007724,0.0007724
64,73.7164,2.3373,2.24334,2.33037,0.54586,0.42593,0.42688,0.17425,2.03524,2.03625,2.13279,0.0007526,0.0007526,0.0007526
65,74.8298,2.39353,2.30775,2.33094,0.60937,0.42593,0.46096,0.17862,2.04307,2.01299,2.13312,0.0007328,0.0007328,0.0007328
66,75.9527,2.26349,2.10836,2.1875,0.55419,0.43741,0.45447,0.17614,2.02118,1.95404,2.1326,0.000713,0.000713,0.000713
67,77.0605,2.27622,2.139,2.32111,0.55604,0.40741,0.45531,0.18349,2.01073,1.90358,2.14136,0.0006932,0.0006932,0.0006932
68,78.2594,2.27427,2.20977,2.28965,0.46897,0.41705,0.40278,0.17702,2.07828,1.9317,2.18877,0.0006734,0.0006734,0.0006734
69,79.3533,2.15612,2.18283,2.34143,0.40228,0.41667,0.38246,0.17536,2.01721,1.93063,2.18576,0.0006536,0.0006536,0.0006536
70,80.6582,2.2981,2.08213,2.19659,0.3965,0.4537,0.37437,0.17824,1.95863,1.89916,2.15173,0.0006338,0.0006338,0.0006338
71,81.8213,2.23184,2.18287,2.23947,0.45347,0.51852,0.39273,0.18695,1.92268,1.81423,2.09557,0.000614,0.000614,0.000614
72,82.994,2.15147,2.17738,2.20089,0.58837,0.38385,0.40222,0.19302,1.91664,1.75526,2.08902,0.0005942,0.0005942,0.0005942
73,84.09,2.23268,2.11381,2.21074,0.5063,0.39815,0.39645,0.1887,1.93438,1.7685,2.11581,0.0005744,0.0005744,0.0005744
74,85.1731,2.25285,1.95292,2.11075,0.47018,0.38889,0.39451,0.19115,1.95941,1.8104,2.14322,0.0005546,0.0005546,0.0005546
75,86.2973,2.19322,2.07482,2.30725,0.43801,0.44444,0.41677,0.20096,1.97806,1.7709,2.12494,0.0005348,0.0005348,0.0005348
76,87.4403,2.34613,2.27939,2.36495,0.50942,0.51852,0.47091,0.22242,1.94737,1.72039,2.08018,0.000515,0.000515,0.000515
77,88.574,2.10698,1.97679,2.21294,0.5137,0.50926,0.49833,0.23618,1.93435,1.72639,2.0581,0.0004952,0.0004952,0.0004952
78,89.6746,2.12782,2.02271,2.14936,0.56335,0.49074,0.51063,0.24366,1.89425,1.72005,2.02297,0.0004754,0.0004754,0.0004754
79,90.8231,2.15461,2.00688,2.15624,0.64279,0.46296,0.49889,0.24819,1.86761,1.70833,1.99339,0.0004556,0.0004556,0.0004556
80,91.987,2.2151,2.12806,2.26561,0.61794,0.5,0.50807,0.23278,1.8801,1.71754,1.98189,0.0004358,0.0004358,0.0004358
81,93.1392,2.15173,2.14372,2.12207,0.55604,0.49074,0.46542,0.20242,1.88788,1.77726,1.99412,0.000416,0.000416,0.000416
82,94.4833,2.1536,1.97595,2.07394,0.52902,0.47844,0.48215,0.1935,1.91584,1.81678,2.00704,0.0003962,0.0003962,0.0003962
83,95.6431,2.02612,1.97217,2.07415,0.49418,0.5,0.47978,0.18892,1.92241,1.80835,2.01101,0.0003764,0.0003764,0.0003764
84,96.8187,2.10273,1.89201,2.11243,0.56735,0.5463,0.49478,0.2117,1.91609,1.71628,1.99848,0.0003566,0.0003566,0.0003566
85,97.9193,2.08558,1.97666,2.08168,0.55731,0.55556,0.49137,0.21907,1.91964,1.70763,2.00698,0.0003368,0.0003368,0.0003368
86,99.0148,2.04705,2.06208,2.1143,0.57209,0.56481,0.51653,0.23765,1.91819,1.69246,2.00324,0.000317,0.000317,0.000317
87,100.152,2.03896,1.81766,2.10257,0.60864,0.56481,0.52874,0.24857,1.90201,1.69203,1.98511,0.0002972,0.0002972,0.0002972
88,101.298,2.19415,1.91365,2.17663,0.62318,0.5819,0.54371,0.25634,1.88516,1.72411,1.9676,0.0002774,0.0002774,0.0002774
89,102.423,1.94698,1.85985,1.99167,0.6096,0.61111,0.53572,0.25837,1.88588,1.73727,1.9615,0.0002576,0.0002576,0.0002576
90,103.56,2.16864,2.04603,2.22327,0.60247,0.62037,0.53916,0.26018,1.8958,1.76217,1.96919,0.0002378,0.0002378,0.0002378
91,105.854,1.96681,2.19374,2.11915,0.57037,0.61111,0.53792,0.24944,1.89966,1.74676,1.97404,0.000218,0.000218,0.000218
92,107.119,1.94134,2.07208,2.04037,0.58256,0.56481,0.55909,0.24787,1.90017,1.70589,1.9679,0.0001982,0.0001982,0.0001982
93,108.277,1.96706,2.03634,2.10941,0.49376,0.57407,0.55138,0.24169,1.9,1.70964,1.97122,0.0001784,0.0001784,0.0001784
94,109.701,1.99236,2.01491,2.10116,0.57679,0.49217,0.55044,0.23989,1.89419,1.72012,1.97812,0.0001586,0.0001586,0.0001586
95,110.772,2.05435,2.06533,2.14279,0.55471,0.5463,0.53965,0.24258,1.89576,1.72277,1.9776,0.0001388,0.0001388,0.0001388
96,111.894,1.96399,2.01992,2.00687,0.61047,0.52242,0.5654,0.26059,1.88286,1.72161,1.98051,0.000119,0.000119,0.000119
97,113.018,2.07017,2.07449,2.12629,0.59906,0.56481,0.5712,0.2626,1.87148,1.71815,1.98158,9.92e-05,9.92e-05,9.92e-05
98,114.15,1.92599,1.97393,2.07742,0.61816,0.50926,0.54629,0.26696,1.86132,1.70755,1.97449,7.94e-05,7.94e-05,7.94e-05
99,115.276,1.96981,2.0203,2.10985,0.59945,0.55556,0.55246,0.27448,1.85473,1.69513,1.97179,5.96e-05,5.96e-05,5.96e-05
100,116.438,1.92636,1.90459,2.04247,0.58906,0.53094,0.56021,0.28255,1.83807,1.67239,1.95834,3.98e-05,3.98e-05,3.98e-05
